OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percIndustrial,percRoadRailroad,percPort,percUrbanFabric,percUrbanGreen,percCropland,percForest,percGrassShrub,percMarshland,percWaterbody,percBeach
9,1301710890,Endomondo,1,4,2.440909,1.046104,1.394805,3.189824,0,77.9929,15.63572,0,0,0,15.63572,6.371378,0,-0.160238,2 sport,0,0,0,76.71795,0,0,23.28205,0,0,0,0
10,1301710890,Google,0,4,3.025299,0.672289,2.353011,7.044547,0,0,14.07863,0,0,0,93.78068,5.792862,0,-0.234085,2 sport,0,0,0,75.68481,0,0,24.31518,0,0,0,0
11,1301710890,MapQuest,0,4,2.475769,0.309471,2.166298,16.2707,0,40.08165,9.722502,7.575033,0,18.25339,20.86293,10.43129,0.309471,0.267162,2 sport,0,0,0,75.30713,0,4.60688,19.90172,0.184275,0,0,0
12,1301710890,Shortest Path,0,4,1.799121,0.359824,1.439297,0,0,40.71235,13.33179,0,0,0,52.51004,6.777617,0,-0.132778,2 sport,0,0,0,76.87983,0,0,23.04989,0.070274,0,0,0
13,1301741966,Endomondo,1,4,0.782318,0.488949,0.293369,8.151842,0,30.37357,18.91531,0,0.504802,0,0,0.646095,0.880107,-0.61114,2 sport,4.981998,0,0,12.63988,28.85083,50.16055,0,0,0,3.366741,0
14,1301741966,Google,0,4,2.152685,1.272041,0.880644,8.085948,0.097849,18.64403,22.52,0,3.3739,0,0,9.692095,0.782795,-0.592156,2 sport,7.917975,0,0,13.94231,26.04984,50.57888,0,0,0,1.510989,0
15,1301741966,MapQuest,0,4,1.031654,0.56272,0.468933,12.768,0.187573,43.60608,0,0,0.463811,0,0,0.035563,1.12544,-0.231678,2 sport,4.991104,0,0,36.22062,4.307519,51.10965,0,0,0,3.371102,0
16,1301741966,Shortest Path,0,4,1.903705,0.846091,1.057614,0,0.74033,6.385409,0,0,1.551985,49.6702,0,1.500909,2.961318,0.017044,2 sport,11.65317,8.138048,0,18.38517,13.01662,48.09331,0,0,0,0.713677,0
17,1301756006,Endomondo,1,4,3.070345,1.535172,1.535172,40.43961,1.023448,55.22262,0.402651,0,28.03102,0.727262,0,13.15511,1.407241,-0.084241,2 sport,0,10.04356,24.54522,45.88778,12.19575,0,0,0,0,7.327697,0
18,1301756006,Google,0,4,2.632053,1.238613,1.39344,16.04325,1.703093,33.99812,20.75481,6.107268,0.438715,5.181259,37.66619,1.867615,1.703093,-0.17775,2 sport,0,0,4.748603,88.76474,0,0,0,0,0,6.486654,0
19,1301756006,MapQuest,0,4,3.35595,1.525432,1.830518,17.78033,1.677975,61.97844,13.87855,6.097867,20.11845,0,0.733705,0,1.677975,-0.220489,2 sport,0,0,4.65829,88.23169,0,0,0,0,0,7.110022,0
20,1301756006,Shortest Path,0,4,4.491647,2.694988,1.796659,0,2.15599,15.38738,12.53653,3.974448,11.12828,0,22.9382,0.055209,3.593317,-0.029622,2 sport,0,0,6.7183,89.39121,3.530259,0,0,0,0,0.360231,0
25,1301934194,Endomondo,1,4,2.38929,1.318229,1.071061,17.86832,0.823893,68.0994,4.062263,0,1.885263,0,0,13.19263,0.906282,-0.289814,2 sport,32.46186,9.418557,0,49.69897,7.348454,1.072165,0,0,0,0,0
26,1301934194,Google,0,4,2.473416,1.279353,1.194063,13.85937,1.620514,52.39256,4.937715,0,0,0,1.372364,1.329596,1.449933,-0.129513,2 sport,47.48541,9.165809,0,34.18297,7.681085,1.484724,0,0,0,0,0
27,1301934194,MapQuest,0,4,2.218842,1.109421,1.109421,22.54611,0.950932,89.10674,0,0,2.150251,0,0,6.654487,2.615064,-0.187763,2 sport,49.74134,9.088738,0,17.44528,7.186629,16.538,0,0,0,0,0
28,1301934194,Shortest Path,0,4,4.078657,2.23355,1.845107,0,1.359552,8.957188,0.184132,0,30.60017,0,25.64669,9.879654,0.873998,-0.048048,2 sport,40.46898,0.410357,0,40.68393,10.2296,8.207132,0,0,0,0,0
37,1303236208,Endomondo,1,4,4.353959,2.280645,2.073314,14.00594,0.310997,47.40911,0,0,3.310583,0,0.041861,23.84056,0.207331,-0.050036,2 sport,0.99612,0,0,68.16609,0,6.742162,24.09563,0,0,0,0
38,1303236208,Google,0,4,2.069247,0.804707,1.26454,2.807015,0.229916,8.878416,0,0,0.618334,0,10.75944,3.622969,0.689749,-0.548307,2 sport,6.499942,0,0,46.88256,0,17.03354,12.4928,7.756137,0,9.335024,0
39,1303236208,MapQuest,0,4,2.335876,1.401526,0.934351,1.191173,0.233588,73.76078,0,0,0.496899,0,0,3.63636,0.934351,-0.256283,2 sport,4.569955,0,0,47.66815,0,17.42442,12.91305,7.932974,0,9.491446,0
40,1303236208,Shortest Path,0,4,3.190996,1.536406,1.65459,0,0.23637,21.91014,0,0,0.268454,0,3.410885,1.292356,0.70911,-0.721606,2 sport,3.633773,0,0,48.33155,0,17.55136,12.87258,7.991925,0,9.61881,0
41,1303262126,Endomondo,1,4,1.257587,0.586874,0.670713,12.44211,0.503035,54.2414,7.786447,0,5.333153,0,0,3.046002,0.335357,-0.550474,2 sport,42.00303,2.463841,0,9.855365,8.78742,26.06795,10.8224,0,0,0,0
42,1303262126,Google,0,4,1.447032,0.851195,0.595837,10.75074,0.595837,62.90308,3.850169,0,0,0,0,1.463956,0.340478,-0.604274,2 sport,45.15799,2.495528,0,10.3739,2.802146,28.20884,10.96159,0,0,0,0
43,1303262126,MapQuest,0,4,1.139097,0.569548,0.569548,15.86257,1.057733,93.54442,0.081509,0,1.118309,0,0,1.951803,0.162728,-0.11263,2 sport,58.87176,27.45982,0,9.617908,2.984585,1.065923,0,0,0,0,0
44,1303262126,Shortest Path,0,4,2.168221,1.036975,1.131246,0,0.188541,8.933865,0,0,3.469729,0,1.211737,2.572297,0.471353,-0.060119,2 sport,78.2621,0.397126,0,10.81694,2.581316,7.942512,0,0,0,0,0
45,1303430974,Endomondo,1,4,1.352835,0.875364,0.477471,15.57343,0.636628,58.70952,0.380372,6.545775,0,0,0,0,0.636628,-0.053663,2 sport,18.45001,8.5712,0,29.89156,8.355924,34.7313,0,0,0,0,0
46,1303430974,Google,0,4,1.172132,0.540984,0.631148,2.004822,0.631148,19.86705,0,3.289406,0,0,35.05422,0.250933,0.180328,-0.225978,2 sport,0,0.839577,0,55.47531,12.74713,30.93798,0,0,0,0,0
47,1303430974,MapQuest,0,4,1.084683,0.417186,0.667497,10.22859,0.750934,82.03754,0,2.978463,1.236294,0,3.131397,1.773759,0.250312,-0.252549,2 sport,0,0.843706,0,60.57973,7.584997,30.99156,0,0,0,0,0
48,1303430974,Shortest Path,0,4,3.035063,1.655489,1.379574,0,0.55183,51.7011,0,3.364398,3.99603,0,3.846212,3.078872,0.183943,-0.505559,2 sport,0,0.931906,0,49.88928,13.13896,36.03986,0,0,0,0,0
49,1303449550,Endomondo,1,4,0.972612,0.324204,0.648408,4.672958,0.648408,91.30055,0,0,0,0,0.247428,1.718575,0.162102,-0.979834,2 sport,10.86713,0,0,18.75301,0,41.11236,22.53566,6.731848,0,0,0
50,1303449550,Google,0,4,1.326412,0.331603,0.994809,2.337391,0.663206,5.762565,0,0.145507,0,0,71.005,0,0.165801,-0.159804,2 sport,11.49614,0,0,14.78075,0,45.91887,21.74413,6.060108,0,0,0
51,1303449550,MapQuest,0,4,0.810715,0.324286,0.486429,4.64647,0.648572,91.18653,0,0,0,0,0.242948,1.687453,0.162143,-0.949607,2 sport,10.87061,0,0,18.75902,0,41.09348,22.54289,6.734007,0,0,0
52,1303449550,Shortest Path,0,4,0.509031,0.169677,0.339354,0,0.509031,66.2225,0,11.95229,0,0,0.258869,1.798036,0.169677,-0.848623,2 sport,10.17291,0,0,7.218399,0,51.95568,23.60248,7.050529,0,0,0
53,1303562242,Endomondo,1,4,1.204082,0.501701,0.702381,1.602798,0.702381,47.13261,16.36814,0,10.35045,0,28.2483,6.763636,3.311226,-0.418617,2 sport,0,0,0,54.93901,0.59988,18.75625,25.70486,0,0,0,0
54,1303562242,Google,0,4,0.600494,0.400329,0.200165,1.864578,0.900741,0,8.176305,0,0,0,34.63892,4.495357,2.201811,-0.338903,2 sport,0,0,0,79.39431,7.018621,6.026192,7.560876,0,0,0,0
55,1303562242,MapQuest,0,4,1.129481,0.752987,0.376494,8.313542,1.035358,85.36986,5.361671,0,0.059265,1.006907,4.632151,6.892109,1.600098,-0.198012,2 sport,0,0,0,54.49835,4.399435,17.8521,23.25012,0,0,0,0
56,1303562242,Shortest Path,0,4,1.835072,1.121433,0.713639,0,0.815587,19.24626,5.952141,0,0.999607,0,45.86705,6.70124,2.650659,-0.529228,2 sport,0,0,0,63.37741,6.978637,12.1058,17.53815,0,0,0,0
57,1303581742,Endomondo,1,4,0.513644,0.220133,0.293511,5.091248,0.146755,61.39774,0,0,0,0,0,2.192153,1.027287,-0.927791,2 sport,0.30713,12,0.438757,10.19378,14.96161,19.73675,10.20841,0,17.5649,14.58867,0
58,1303581742,Google,0,4,0.539941,0.134985,0.404956,14.25465,0.134985,47.82632,0.90075,0,0,0,9.596561,2.066508,1.147375,-0.557219,2 sport,0.288086,1.694218,0.411551,17.92304,14.56204,21.627,13.29309,0,16.47575,13.72522,0
59,1303581742,MapQuest,0,4,0.596131,0.223549,0.372582,3.485362,0.223549,69.58602,5.21588,0,0,0,0,2.960147,0.968712,-0.835424,2 sport,5.150119,21.57402,0.445898,12.23246,15.77735,20.18431,0.609394,0,13.9566,10.06986,0
60,1303581742,Shortest Path,0,4,0.539794,0.231341,0.308454,0,0.231341,72.01862,4.053075,0,0,0,0,3.075396,0.925362,-0.440537,2 sport,3.73444,26.34086,0.507146,20.87752,0.015368,26.31781,2.966037,0,3.742124,15.49869,0
61,1303704298,Endomondo,1,4,1.097954,0.512379,0.585576,12.30853,0.146394,55.84588,5.591431,0,0.448572,0,15.49482,11.93406,1.756727,-0.341084,2 sport,7.431377,1.896898,0.238042,23.2091,31.00498,5.370825,2.20189,0,0,28.64688,0
62,1303704298,Google,0,4,1.337418,0.520107,0.817311,10.63972,0.222903,70.79278,0,0,0,0,0,14.09948,0.297204,-0.591623,2 sport,13.87077,3.534051,0.659791,33.52798,17.73093,5.475504,2.259973,0,0,22.941,0
63,1303704298,MapQuest,0,4,1.077248,0.230839,0.846409,6.836156,0.384731,78.1797,0.339863,0,0.213474,0,4.247832,9.041979,1.692818,-0.354555,2 sport,22.35385,6.846154,0,34.66923,12.31538,0,2.723077,0,4.176923,16.91538,0
64,1303704298,Shortest Path,0,4,1.561922,0.739858,0.822064,0,0.082206,75.00006,0,0,3.142981,0,7.783918,2.732971,1.233096,-0.566625,2 sport,11.50908,3.376325,0.345026,29.4915,15.09077,5.931159,2.431611,0,0,31.82453,0
533,1303834248,Endomondo,1,4,0.918579,0.306193,0.612386,0.84167,0.612386,15.53097,21.86269,0,0,0,0,18.25957,2.449544,-0.598495,2 sport,0,0,0,99.96996,0.030048,0,0,0,0,0,0
534,1303834248,Google,0,4,2.023159,0.867068,1.156091,6.832457,0.289023,9.630561,0,0,57.8856,7.084181,2.835397,0,0.867068,-0.519982,2 sport,0,0,0,65.3038,34.69619,0,0,0,0,0,0
535,1303834248,MapQuest,0,4,2.034592,1.162624,0.871968,6.232162,0.581312,30.2982,0.998915,0,58.41263,0,0,10.29026,0.290656,-0.423332,2 sport,0,0,0,64.98567,35.01433,0,0,0,0,0,0
536,1303834248,Shortest Path,0,4,0.30877,0.30877,0,0,0.61754,4.147641,19.32248,0,0,0,0,18.41535,2.470161,-0.625964,2 sport,0,0,0,99.96976,0.030239,0,0,0,0,0,0
65,1304180940,Endomondo,1,4,0.896526,0.672394,0.224132,1.843517,0.672394,61.98042,7.753518,0.252963,0,0,0,0.969862,2.241315,-0.696084,2 sport,1.4862,1.128618,0,50.2179,5.631914,41.53537,0,0,0,0,0
66,1304180940,Google,0,4,1.048898,0.419559,0.629339,8.81105,0.734229,88.88232,7.25888,0.514899,0,0,0,0.907989,2.517355,-0.874251,2 sport,1.409944,6.212234,0,55.25283,2.872893,34.25209,0,0,0,0,0
67,1304180940,MapQuest,0,4,0.893795,0.198621,0.695174,14.92404,0.893795,94.66103,0,2.717613,0,0,0,2.982693,2.383453,-0.686176,2 sport,1.331331,5.865866,0,57.74775,2.712713,32.34234,0,0,0,0,0
68,1304180940,Shortest Path,0,4,1.711975,0.913053,0.798922,0,0.570658,34.17715,2.144651,0,8.820948,0,5.193632,2.497094,2.396765,-0.51839,2 sport,1.515324,1.059588,0,49.92594,5.252364,42.24678,0,0,0,0,0
73,1304257396,Endomondo,1,4,0.93382,0.439445,0.494376,21.4927,0.054931,29.41518,33.41427,0,1.046438,0,39.24703,7.737367,0.439445,-0.262169,2 sport,1.971326,0,0,53.68504,9.290995,34.3974,0,0,0,0.655242,0
74,1304257396,Google,0,4,1.00546,0.314206,0.691254,6.198866,0.251365,28.07489,12.03239,0,0.520422,44.05914,1.862479,4.618732,0.754095,-0.170544,2 sport,2.241753,0,0,20.55789,18.88294,57.55955,0,0,0,0.757865,0
75,1304257396,MapQuest,0,4,0.511091,0.255545,0.255545,4.461601,0.063886,28.97566,0,0,3.751829,0,0,6.964216,1.086068,-0.709352,2 sport,2.285714,0,0,21.67533,13.49351,61.77273,0,0,0,0.772727,0
76,1304257396,Shortest Path,0,4,1.00105,0.467157,0.533893,0,0.066737,11.66745,0,0,1.61655,0,0.244207,9.780639,1.267997,-0.583825,2 sport,2.544478,0,0,25.81403,7.707284,63.13528,0,0,0,0.798926,0
77,1305089380,Endomondo,1,4,3.957488,2.198604,1.758883,11.59086,0.439721,72.22159,5.633317,0,0,0,0,0,1.099302,-0.320477,2 sport,29.79377,0,0,36.17815,31.0882,2.939886,0,0,0,0,0
78,1305089380,Google,0,4,3.596034,2.022769,1.573265,9.162114,1.12376,93.41347,5.724648,0,0,0,0,0,0.899008,-0.445528,2 sport,15.2569,0,0,49.94391,31.88243,2.91676,0,0,0,0,0
79,1305089380,MapQuest,0,4,1.353474,0.676737,0.676737,8.761922,0.451158,85.89137,0,0,0,0,0,14.10864,0.225579,-0.059439,2 sport,26.68011,0,0,11.42473,19.73566,42.1595,0,0,0,0,0
80,1305089380,Shortest Path,0,4,6.869636,2.94413,3.925506,0,0.736032,40.98906,6.234605,0,29.67854,0,0,7.921271,0.981377,-0.285682,2 sport,16.62988,0,0,52.85749,27.32401,3.188619,0,0,0,0,0
89,1306489864,Endomondo,1,4,1.912318,0.805187,1.107131,23.86305,0.503242,49.76793,5.313701,0.636677,1.399005,0,0.840828,13.89172,0.805187,-0.046219,2 sport,0,0,0,56.42396,11.88988,4.417104,0,0,0,27.26906,0
90,1306489864,Google,0,4,1.531199,0.437485,1.093713,13.98422,2.187427,0.973171,30.61573,0,0,6.381115,62.24913,19.01413,0.874971,-0.174938,2 sport,0,0,0,99.57475,0.425254,0,0,0,0,0,0
91,1306489864,MapQuest,0,4,1.796285,1.010411,0.785875,11.04344,1.122678,58.62963,0.937402,0.612977,22.4617,0,3.060427,10.84791,0.673607,-0.064412,2 sport,0,0,0,85.22283,14.77717,0,0,0,0,0,0
92,1306489864,Shortest Path,0,4,2.617987,1.371327,1.246661,0,2.368655,10.80958,14.92436,1.23138,7.152282,4.983959,44.94625,4.447688,2.119323,-0.233508,2 sport,0,0,0,99.51535,0.484653,0,0,0,0,0,0
97,1306564366,Endomondo,1,4,1.387097,0.565114,0.821983,4.03008,0.205496,39.86245,12.54814,0,0.246413,0,0.271445,2.032414,0.205496,-0.510318,2 sport,5.211978,0.391027,0,28.58613,9.636757,55.20169,0,0.920971,0,0.051451,0
98,1306564366,Google,0,4,1.443616,0.945817,0.497799,7.361436,0.199119,48.13323,0,0,0.435025,0,17.47078,2.561577,0.248899,-0.483907,2 sport,6.557294,0.370784,0,33.19281,13.21617,42.90431,0,3.707842,0,0.050792,0
99,1306564366,MapQuest,0,4,1.389087,0.694544,0.694544,15.42337,0.926058,81.53411,4.556601,0,0,0.069691,4.437863,5.30762,1.713207,-0.086044,2 sport,36.02433,6.271761,0,28.68948,5.115826,22.65911,0,1.239497,0,0,0
100,1306564366,Shortest Path,0,4,2.93944,1.389554,1.549887,0,0.427555,25.15848,4.969058,0,5.883615,0,35.03983,9.760912,0.641332,-0.138837,2 sport,7.607936,0.274208,0,49.85214,4.79058,36.51271,0,0.962417,0,0,0
105,1306602716,Endomondo,1,4,4.219632,1.985709,2.233923,39.13161,0.248214,64.49458,14.15163,0,7.201612,0.695715,0,0,0,-0.005633,2 sport,0.062822,0,0,68.42568,5.553462,25.95803,0,0,0,0,0
106,1306602716,Google,0,4,2.414733,1.056446,1.358287,14.4122,1.961971,16.37447,0,0,0.184672,55.85071,16.85333,0,0.150921,-0.136516,2 sport,0,0,0,69.28979,26.48209,4.228107,0,0,0,0,0
107,1306602716,MapQuest,0,4,2.155666,1.231809,0.923857,12.14193,2.00169,86.91354,0,0,2.282739,0,0.099133,1.871122,0.153976,-0.030174,2 sport,0,0,0,71.98456,23.93822,4.07722,0,0,0,0,0
108,1306602716,Shortest Path,0,4,3.280765,1.726718,1.554046,0,1.381375,6.16782,19.86034,0,1.054238,9.842018,1.103123,21.11067,0.345344,-0.050847,2 sport,0,0,0,80.15665,19.84334,0,0,0,0,0,0
109,1307412558,Endomondo,1,4,1.189503,0.532146,0.657357,3.995363,0.406935,54.6941,20.65588,8.221344,4.932753,0,0,3.922857,0.093908,-0.261784,2 sport,6.791871,2.154901,0,23.77312,3.315717,61.63961,0,0.342897,1.98188,0,0
110,1307412558,Google,0,4,1.968724,0.93893,1.029794,7.479187,0.817778,33.18572,3.544738,0,1.04179,0.046277,14.31838,1.728501,0.726914,-0.257201,2 sport,19.21614,2.882728,0,33.58685,4.685966,39.29404,0,0.334274,0,0,0
111,1307412558,MapQuest,0,4,1.425596,0.788628,0.636968,7.3241,0.727964,91.14511,1.341167,0,0.022387,0,0,2.396946,1.15261,-0.134112,2 sport,20.77361,4.838907,0,25.43795,3.292295,45.3081,0,0.349136,0,0,0
112,1307412558,Shortest Path,0,4,2.441502,1.204475,1.237028,0,0.651067,12.10646,5.760851,0,2.983433,3.76677,16.76721,4.94138,0.944048,-0.234641,2 sport,16.46346,6.568338,0,28.90528,2.08784,45.667,0,0.308096,0,0,0
121,1308290562,Endomondo,1,4,1.733879,0.71395,1.019929,7.927269,0.101993,55.73663,3.338848,4.822364,0,0,1.666259,20.58809,0.305979,-0.459235,2 sport,0,0,0,74.78932,9.00599,16.20469,0,0,0,0,0
122,1308290562,Google,0,4,1.837173,0.510326,1.326847,7.850879,0.102065,22.48389,3.26363,3.651226,4.732456,0,12.82969,26.0815,0.612391,-0.290827,2 sport,0,0,0,56.73773,20.57533,20.87116,1.815771,0,0,0,0
123,1308290562,MapQuest,0,4,1.226639,0.536654,0.689984,43.58347,0.15333,68.93159,1.079614,0,6.361239,0,0.08259,9.266553,0.919979,-0.03792,2 sport,0,0,0,27.14729,0.263566,11.92248,55.56589,5.100775,0,0,0
124,1308290562,Shortest Path,0,4,2.091485,0.990703,1.100781,0,0.660469,23.73525,0.438278,1.324531,2.321797,47.25605,9.119355,12.14509,0.220156,-0.206774,2 sport,0,0,0,72.70932,18.17184,9.118841,0,0,0,0,0
125,1308377784,Endomondo,1,4,1.100174,0.513415,0.58676,1.546167,0.366725,63.99561,1.180499,0,0,0,15.70889,11.15716,0.953484,-0.344508,2 sport,0.762407,0,0,23.75192,0,53.11927,15.44608,6.920314,0,0,0
126,1308377784,Google,0,4,0.794823,0.244561,0.550262,21.81671,0.305701,72.34786,0,0.053516,0,0,17.60173,1.710465,3.607272,-0.191841,2 sport,3.666973,0,0,6.017753,0,13.71289,29.55617,47.04622,0,0,0
127,1308377784,MapQuest,0,4,0.734872,0.428675,0.306197,21.61952,0.244957,89.27285,0,0,0,0,1.764039,2.366396,1.959659,-0.291515,2 sport,2.842615,0,0,5.391166,2.321877,9.024076,58.82497,21.59529,0,0,0
128,1308377784,Shortest Path,0,4,1.48958,0.670311,0.819269,0,0.297916,37.25548,2.261201,0,0,0,33.66072,10.98532,0.893748,-0.33574,2 sport,0.634092,0,0,21.8799,0,55.04662,15.28534,7.154047,0,0,0
129,1308732342,Endomondo,1,4,1.002565,0.429671,0.572894,16.4648,0.286447,89.0289,0,0,0,0,0,0,0.286447,-0.165307,2 sport,7.206823,0,0,56.83014,0,8.94101,27.02203,0,0,0,0
130,1308732342,Google,0,4,1.149132,0.143642,1.00549,16.12596,0.287283,0,0,0,0.797017,37.87868,51.63558,0,0.287283,-0.030361,2 sport,6.33038,0,0,57.58788,0,8.988282,27.09345,0,0,0,0
131,1308732342,MapQuest,0,4,2.152317,0.922422,1.229895,8.500287,0.153737,91.1214,0,0,0.609857,0,0,0.588369,1.076159,-0.166323,2 sport,3.109127,0,0,37.27874,0,9.681392,36.87856,13.05218,0,0,0
132,1308732342,Shortest Path,0,4,3.169295,1.33444,1.834855,0,0.166805,39.76214,0,0,24.22161,0,0,0,1.66805,-0.147902,2 sport,10.53959,0,0,18.25517,0,10.37149,56.73222,4.10153,0,0,0
141,1309051000,Endomondo,1,4,3.731237,0.932809,2.798428,5.258734,0.310937,73.91074,0,0,0,0,0,1.573083,0.932809,-0.418961,2 sport,0,0,0,90.8839,0,9.116107,0,0,0,0,0
142,1309051000,Google,0,4,2.111053,0.301579,1.809474,8.524707,0.301579,1.716939,0,0,0,0,0,11.70284,0,0.028725,2 sport,0,0,0,86.7634,0,13.2366,0,0,0,0,0
143,1309051000,MapQuest,0,4,3.553543,1.776771,1.776771,10.52219,0.296129,98.87057,0,0,0,0,0,0,0,-0.170507,2 sport,0,0,0,88.95093,0,11.04907,0,0,0,0,0
144,1309051000,Shortest Path,0,4,4.254741,1.309151,2.94559,0,0.327288,41.14789,0,0,4.894415,0,0,4.677737,0.981863,-0.211256,2 sport,0,0,0,94.41756,0,5.582446,0,0,0,0,0
149,1309144922,Endomondo,1,4,1.930177,0.965089,0.965089,25.02347,0.772071,12.23977,0,0,0,25.79118,36.97327,1.440079,1.930177,-0.170288,2 sport,16.13275,0,0,75.54192,6.905812,1.419528,0,0,0,0,0
150,1309144922,Google,0,4,1.538695,0.879254,0.659441,9.782807,0.439627,52.70727,0,0,0,0,0,3.171591,1.758508,-0.170733,2 sport,12.15951,0,0,77.94727,7.365439,2.527784,0,0,0,0,0
151,1309144922,MapQuest,0,4,3.27863,2.049144,1.229486,17.76503,0.204914,70.14882,0,0,0,0,0,0,4.917945,-0.250471,2 sport,8.423858,0,0,64.97233,0,26.60381,0,0,0,0,0
152,1309144922,Shortest Path,0,4,4.102397,2.413175,1.689222,0,0.96527,16.04092,5.075496,0,0,29.81945,15.21582,0,6.032937,-0.236809,2 sport,4.663956,0,0,75.55608,0,19.77996,0,0,0,0,0
161,1309157778,Endomondo,1,4,2.309768,1.039395,1.270372,27.7314,0.346465,93.81445,0.728415,0,0.60126,0,0,2.589765,0.115488,-0.018412,2 sport,22.3915,3.647276,0,65.17775,6.728993,0,0,0,0,2.054478,0
162,1309157778,Google,0,4,1.758628,0.753698,1.00493,17.43294,0.753698,34.20894,1.233757,0,0,14.31763,17.66336,0,0.376849,-0.092522,2 sport,13.12461,0,0,67.33876,19.39887,0,0,0,0,0.137758,0
163,1309157778,MapQuest,0,4,2.24645,1.497633,0.748817,18.19844,0.873619,94.49884,0,0,0.314118,0,0,4.489054,2.121647,-0.08902,2 sport,39.08753,0,0,35.24286,17.42919,0.064078,0,0,0,8.176342,0
164,1309157778,Shortest Path,0,4,3.982903,1.622664,2.360239,0,0.147515,46.80095,0.131662,0,2.88778,1.542294,3.227777,2.583064,2.212724,-0.242545,2 sport,47.60077,0,0,32.24568,14.95644,0,0,0,0,5.197106,0
165,1309765080,Endomondo,1,4,2.591428,1.295714,1.295714,16.56488,0.107976,49.01615,9.917159,0,21.82348,0,0,7.577733,1.619642,-0.141367,2 sport,3.762333,0,0,32.57075,0,2.959991,50.54754,10.15938,0,0,0
166,1309765080,Google,0,4,1.57976,0.5642,1.01556,11.54049,0.33852,1.910046,2.788258,0,3.065557,0.434987,63.27157,0,0.5642,0.009076,2 sport,0,0,0,61.48182,0,8.59411,29.92407,0,0,0,0
167,1309765080,MapQuest,0,4,1.571504,0.785752,0.785752,28.14455,0,78.76703,0,0.260802,0,0,1.457579,0.487474,0.392876,-0.059233,2 sport,0.0099,0,0,14.02831,1.831502,40.67914,43.45115,0,0,0,0
168,1309765080,Shortest Path,0,4,3.146557,1.762072,1.384485,0,0.251725,31.07165,1.733299,0,27.41619,3.179499,0,1.440719,1.132761,-0.204642,2 sport,3.814199,0,0,20.43051,0,3.361027,69.32276,3.071501,0,0,0
169,1310060268,Endomondo,1,4,3.350523,1.818855,1.531667,7.067592,0.191458,48.0718,3.567035,4.891426,0.126971,0,0.158585,10.14765,3.350523,-0.367503,2 sport,9.643483,6.954997,2.961231,52.91253,14.68927,4.227547,0,0,0,8.610949,0
170,1310060268,Google,0,4,1.256215,0.502486,0.753729,22.38544,0.502486,8.166913,5.367555,4.24253,0,7.009554,0,12.28066,1.842449,-0.186399,2 sport,5.455305,6.282372,0,41.77945,0,27.76107,7.243108,0,0,11.4787,0
171,1310060268,MapQuest,0,4,1.915411,0.766165,1.149247,7.021361,0.191541,63.39916,0,0,7.242822,0,1.486452,17.8644,2.777347,-0.245052,2 sport,0,5.351106,6.461895,35.87366,14.56583,15.45446,3.767024,0,0,18.52603,0
172,1310060268,Shortest Path,0,4,2.767364,1.332435,1.43493,0,0.20499,21.87313,1.335519,1.11846,14.96782,7.616951,7.366766,14.69028,5.944708,-0.472576,2 sport,10.31787,8.181344,2.178218,44.12715,15.54977,6.753518,3.960396,0,0,8.931735,0
173,1310529378,Endomondo,1,4,2.981497,1.677092,1.304405,36.08545,0,12.12332,3.228371,0,2.397843,0,0,7.362574,1.863436,-0.012288,2 sport,0,0,0,31.73953,0,66.32558,0,1.934884,0,0,0
174,1310529378,Google,0,4,2.000655,0.750246,1.25041,1.401364,0,0,12.63852,0,0,52.70552,0,4.97525,3.000983,-0.272541,2 sport,0,0,0,25.91494,0,71.81009,0,2.274975,0,0,0
175,1310529378,MapQuest,0,4,1.763257,0.881629,0.881629,15.05366,0,65.01495,1.35125,0,0,0,0,6.312923,2.865293,0.038835,2 sport,0.579323,0,0,28.60962,0,68.76114,0,2.049911,0,0,0
176,1310529378,Shortest Path,0,4,2.282278,1.014346,1.267932,0,0,9.603795,16.30368,0,12.32523,47.87535,0,4.973931,3.043038,-0.576257,2 sport,0,0,0,25.06266,0,72.63158,0,2.305764,0,0,0
